#meta,export_name,profile_data
#meta,original_variable,beam['profile_data']
#meta,shape,"(5, 800, 7)"
#meta,ndim,3
#meta,size,28000
#meta,export_mode,full
i,j,k,value
0,0,0,0.9916953902064278
0,0,1,0.003930442300968337
0,0,2,0.0043741674926038475
0,0,3,0.11839264358176839
0,0,4,9.182745678757767
0,0,5,44.855512580730085
0,0,6,1.003479649114471
0,1,0,0.9916953902064278
0,1,1,0.003930442300968337
0,1,2,0.0043741674926038475
0,1,3,0.11839264358176839
0,1,4,9.182745678757767
0,1,5,44.855512580730085
0,1,6,1.003479649114471
0,2,0,0.9916953902064278
0,2,1,0.003930442300968337
0,2,2,0.0043741674926038475
0,2,3,0.11839264358176839
0,2,4,9.182745678757767
0,2,5,44.855512580730085
0,2,6,1.003479649114471
0,3,0,0.9916953902064278
0,3,1,0.003930442300968337
0,3,2,0.0043741674926038475
0,3,3,0.11839264358176839
0,3,4,9.182745678757767
0,3,5,44.855512580730085
0,3,6,1.003479649114471
0,4,0,0.9916953902064278
0,4,1,0.003930442300968337
0,4,2,0.0043741674926038475
0,4,3,0.11839264358176839
0,4,4,9.182745678757767
0,4,5,44.855512580730085
0,4,6,1.003479649114471
0,5,0,0.9916953902064278
0,5,1,0.003930442300968337
0,5,2,0.0043741674926038475
0,5,3,0.11839264358176839
0,5,4,9.182745678757767
0,5,5,44.855512580730085
0,5,6,1.003479649114471
0,6,0,0.9916953902064278
0,6,1,0.003930442300968337
0,6,2,0.0043741674926038475
0,6,3,0.11839264358176839
0,6,4,9.182745678757767
0,6,5,44.855512580730085
0,6,6,1.003479649114471
0,7,0,0.9916953902064278
0,7,1,0.003930442300968337
0,7,2,0.0043741674926038475
0,7,3,0.11839264358176839
0,7,4,9.182745678757767
0,7,5,44.855512580730085
0,7,6,1.003479649114471
0,8,0,0.9916953902064278
0,8,1,0.003930442300968337
0,8,2,0.0043741674926038475
0,8,3,0.11839264358176839
0,8,4,9.182745678757767
0,8,5,44.855512580730085
0,8,6,1.003479649114471
0,9,0,0.9929438615919652
0,9,1,0.003399698252838489
0,9,2,0.0036564401551962946
0,9,3,0.12926292831079889
0,9,4,8.345608365240645
0,9,5,44.88550954598824
0,9,6,1.0045602544056609
0,10,0,0.9915507752727503
0,10,1,0.00452738191434722
0,10,2,0.003921842812902517
0,10,3,0.1578882417863804
0,10,4,8.496776635088834
0,10,5,44.97699618426531
0,10,6,1.0066586275926033
0,11,0,0.9899665166861155
0,11,1,0.005798113118047673
0,11,2,0.004235370195836963
0,11,3,0.17200705195307198
0,11,4,8.45353464065528
0,11,5,45.028758090326996
0,11,6,1.007686673030966
0,12,0,0.9885901024063234
0,12,1,0.006973731290301587
0,12,2,0.004436166303375078
0,12,3,0.16910423743014286
0,12,4,8.649107051976053
0,12,5,45.01775381286104
0,12,6,1.010597901489851
0,13,0,0.9868313009802887
0,13,1,0.008695268715928892
0,13,2,0.004473430303782462
0,13,3,0.18365866462737868
0,13,4,8.37587541158203
0,13,5,45.07479957242731
0,13,6,1.0098806748737597
0,14,0,0.9855460957642398
0,14,1,0.01003344909543756
0,14,2,0.004420455140322702
0,14,3,0.18971293739529344
0,14,4,8.469978849896
0,14,5,45.09980254818741
0,14,6,1.0106839829167829
0,15,0,0.9832659169541826
0,15,1,0.011916993053354431
0,15,2,0.004817089992462915
0,15,3,0.19502876908793798
0,15,4,8.215185493384913
0,15,5,45.12260885594128
0,15,6,1.0096633425110448
0,16,0,0.9805345933069669
0,16,1,0.014327026450422279
0,16,2,0.005138380242610777
0,16,3,0.1946261029312557
0,16,4,8.237469411222625
0,16,5,45.1207488354389
0,16,6,1.0092049407373551
0,17,0,0.9791690741084664
0,17,1,0.015605671648078624
0,17,2,0.0052252542434548886
0,17,3,0.20264919909955953
0,17,4,8.460134873908958
0,17,5,45.156602094227296
0,17,6,1.0091631389806923
0,18,0,0.977174944412748
0,18,1,0.017664244837237945
0,18,2,0.005160810750014111
0,18,3,0.203417749051349
0,18,4,8.601822469767336
0,18,5,45.15953136753279
0,18,6,1.0095221325652837
0,19,0,0.9752176733285594
0,19,1,0.019548919080611966
0,19,2,0.0052334075908286246
0,19,3,0.20012103527360822
0,19,4,8.71757658021756
0,19,5,45.14488787358884
0,19,6,1.0093143326001683
0,20,0,0.9729498362080178
0,20,1,0.021640863317956314
0,20,2,0.005409300474025911
0,20,3,0.2045212339557699
